start,end,CellId,IMSI,RNTI,LCID,nTxPDUs,TxBytes,nRxPDUs,RxBytes,delay,stdDev,min,max,PduSize,stdDev,min,max
1,1.25,1,4,78,3,2,2108,2,2108,0.0329286,0.0113137,0.0249286,0.0409286,1054,0,1054,1054
1,1.25,1,5,67,3,2,2108,2,2108,0.0359286,0.0113137,0.0279286,0.0439286,1054,0,1054,1054
1,1.25,1,6,77,3,2,2108,2,2108,0.0324286,0.0120208,0.0239286,0.0409286,1054,0,1054,1054
1,1.25,1,7,21,3,2,2108,2,2108,0.0339286,0.0113137,0.0259286,0.0419286,1054,0,1054,1054
1,1.25,1,8,69,3,2,2108,2,2108,0.0359286,0.0113137,0.0279286,0.0439286,1054,0,1054,1054
1,1.25,1,9,39,3,2,2108,2,2108,0.0344286,0.0120208,0.0259286,0.0429286,1054,0,1054,1054
1,1.25,1,10,76,3,2,2108,2,2108,0.0324286,0.0120208,0.0239286,0.0409286,1054,0,1054,1054
1,1.25,1,11,80,3,2,2108,2,2108,0.0329286,0.0113137,0.0249286,0.0409286,1054,0,1054,1054
1,1.25,1,12,55,3,2,2108,2,2108,0.0349286,0.0113137,0.0269286,0.0429286,1054,0,1054,1054
1,1.25,1,13,65,3,2,2108,2,2108,0.0354286,0.0120208,0.0269286,0.0439286,1054,0,1054,1054
1,1.25,1,14,71,3,2,2108,2,2108,0.0319286,0.0113137,0.0239286,0.0399286,1054,0,1054,1054
1,1.25,1,15,43,3,2,2108,2,2108,0.0349286,0.0113137,0.0269286,0.0429286,1054,0,1054,1054
1,1.25,1,16,57,3,2,2108,2,2108,0.0354286,0.0120208,0.0269286,0.0439286,1054,0,1054,1054
1,1.25,1,17,56,3,2,2108,2,2108,0.0354286,0.0120208,0.0269286,0.0439286,1054,0,1054,1054
1,1.25,1,18,22,3,2,2108,2,2108,0.0339286,0.0113137,0.0259286,0.0419286,1054,0,1054,1054
1,1.25,1,19,42,3,2,2108,2,2108,0.0344286,0.0120208,0.0259286,0.0429286,1054,0,1054,1054
1,1.25,1,20,54,3,2,2108,2,2108,0.0349286,0.0113137,0.0269286,0.0429286,1054,0,1054,1054
1,1.25,1,21,41,3,2,2108,2,2108,0.0344286,0.0120208,0.0259286,0.0429286,1054,0,1054,1054
1,1.25,1,22,44,3,2,2108,2,2108,0.0349286,0.0113137,0.0269286,0.0429286,1054,0,1054,1054
1,1.25,1,23,2,3,2,2108,2,2108,0.0329286,0.0113137,0.0249286,0.0409286,1054,0,1054,1054
1,1.25,1,24,72,3,2,2108,2,2108,0.0324286,0.0120208,0.0239286,0.0409286,1054,0,1054,1054
1,1.25,1,25,37,3,2,2108,2,2108,0.0339286,0.0113137,0.0259286,0.0419286,1054,0,1054,1054
1,1.25,1,26,40,3,2,2108,2,2108,0.0344286,0.0120208,0.0259286,0.0429286,1054,0,1054,1054
1,1.25,1,27,75,3,2,2108,2,2108,0.0324286,0.0120208,0.0239286,0.0409286,1054,0,1054,1054
1,1.25,1,28,70,3,2,2108,2,2108,0.0359286,0.0113137,0.0279286,0.0439286,1054,0,1054,1054
1,1.25,1,29,38,3,2,2108,2,2108,0.0339286,0.0113137,0.0259286,0.0419286,1054,0,1054,1054
1,1.25,1,30,20,3,2,2108,2,2108,0.0334286,0.0120208,0.0249286,0.0419286,1054,0,1054,1054
1,1.25,1,31,4,3,2,2108,2,2108,0.0334286,0.0120208,0.0249286,0.0419286,1054,0,1054,1054
1,1.25,1,32,64,3,2,2108,2,2108,0.0354286,0.0120208,0.0269286,0.0439286,1054,0,1054,1054
1,1.25,1,33,19,3,2,2108,2,2108,0.0334286,0.0120208,0.0249286,0.0419286,1054,0,1054,1054
